facility_name,facility_id,state,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
CHI ST LUKES HEALTH MEMORIAL LUFKIN,450211,TX,READM-30-CABG,,1.0,,,,,07/01/2021,06/30/2024
CHI ST LUKES HEALTH MEMORIAL LUFKIN,450211,TX,READM-30-COPD,,,0.9872,17.6693,17.8986,,07/01/2021,06/30/2024
CHRISTUS GOOD SHEPHERD MEDICAL CENTER,450032,TX,READM-30-CABG,,,0.9778,10.9061,11.1537,,07/01/2021,06/30/2024
CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,450236,TX,READM-30-PN,260.0,,0.972,15.7291,16.1827,39.0,07/01/2021,06/30/2024
CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,450236,TX,READM-30-CABG,,5.0,,,,,07/01/2021,06/30/2024
CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,450236,TX,READM-30-COPD,,,0.9847,17.6778,17.9518,,07/01/2021,06/30/2024
CHRISTUS SANTA ROSA MEDICAL CENTER,450237,TX,READM-30-HF,782.0,,1.0181,19.9098,19.5564,157.0,07/01/2021,06/30/2024
CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,450034,TX,READM-30-HIP-KNEE,,1.0,,,,,07/01/2021,06/30/2024
CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,450034,TX,READM-30-CABG,,,0.9994,11.7083,11.7152,,07/01/2021,06/30/2024
CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,450034,TX,READM-30-PN,361.0,,1.0557,16.992,16.0962,65.0,07/01/2021,06/30/2024
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,450046,TX,READM-30-COPD,,,0.918,15.991,17.4191,,07/01/2021,06/30/2024
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,450046,TX,READM-30-HF,316.0,,1.0053,19.8149,19.7104,63.0,07/01/2021,06/30/2024
CONNALLY MEMORIAL MEDICAL CENTER,450108,TX,READM-30-AMI,,1.0,,,,,07/01/2021,06/30/2024
COVENANT MEDICAL CENTER,450040,TX,READM-30-AMI,228.0,,0.911,12.1596,13.3471,23.0,07/01/2021,06/30/2024
DE TAR HOSPITAL NAVARRO,450147,TX,READM-30-CABG,,1.0,,,,,07/01/2021,06/30/2024
GRACE SURGICAL HOSPITAL,450162,TX,READM-30-COPD,,5.0,,,,,07/01/2021,06/30/2024
GUADALUPE REGIONAL MEDICAL CENTER,450104,TX,READM-30-HIP-KNEE,,,1.4782,6.9336,4.6905,,07/01/2021,06/30/2024
HCA HOUSTON HEALTHCARE SOUTHEAST,450097,TX,READM-30-HIP-KNEE,,,0.9817,5.6711,5.7767,,07/01/2021,06/30/2024
HENDRICK MEDICAL CENTER,450229,TX,READM-30-AMI,403.0,,1.0354,13.2095,12.758,55.0,07/01/2021,06/30/2024
JPS HEALTH NETWORK,450039,TX,READM-30-PN,100.0,,0.9948,17.3526,17.4425,17.0,07/01/2021,06/30/2024
JPS HEALTH NETWORK,450039,TX,READM-30-COPD,55.0,,0.9716,24.2199,24.9274,11.0,07/01/2021,06/30/2024
LAS PALMAS MEDICAL CENTER A CAMPUS OF LPDS HEALTHC,450107,TX,READM-30-COPD,,,0.9956,18.4356,18.5162,,07/01/2021,06/30/2024
LAS PALMAS MEDICAL CENTER A CAMPUS OF LPDS HEALTHC,450107,TX,READM-30-CABG,,,1.0469,11.8407,11.3101,,07/01/2021,06/30/2024
MEDICAL CITY NORTH HILLS,450087,TX,READM-30-PN,261.0,,1.0523,17.8199,16.9348,50.0,07/01/2021,06/30/2024
MEMORIAL HERMANN - TEXAS MEDICAL CENTER,450068,TX,READM-30-HIP-KNEE,,1.0,,,,,07/01/2021,06/30/2024
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,TX,READM-30-HF,1510.0,,1.014,20.8592,20.5716,316.0,07/01/2021,06/30/2024
METHODIST HOSPITAL ATASCOSA,450165,TX,READM-30-CABG,,5.0,,,,,07/01/2021,06/30/2024
NORTHWEST TEXAS HOSPITAL,450209,TX,READM-30-CABG,,,1.0908,14.0946,12.9218,,07/01/2021,06/30/2024
NORTHWEST TEXAS HOSPITAL,450209,TX,READM-30-HF,267.0,,0.938,17.4317,18.5843,42.0,07/01/2021,06/30/2024
PARIS REGIONAL MEDICAL CENTER,450196,TX,READM-30-COPD,206.0,,1.1348,22.4501,19.784,56.0,07/01/2021,06/30/2024
PARIS REGIONAL MEDICAL CENTER,450196,TX,READM-30-HIP-KNEE,,,0.9095,4.114,4.5234,,07/01/2021,06/30/2024
PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,450144,TX,READM-30-HF,,1.0,,,,,07/01/2021,06/30/2024
PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,450144,TX,READM-30-CABG,,5.0,,,,,07/01/2021,06/30/2024
PETERSON REGIONAL MEDICAL CENTER,450007,TX,READM-30-COPD,,,0.9882,13.3501,13.5094,,07/01/2021,06/30/2024
PETERSON REGIONAL MEDICAL CENTER,450007,TX,READM-30-AMI,137.0,,1.0126,11.2321,11.0921,16.0,07/01/2021,06/30/2024
ROLLING PLAINS MEMORIAL HOSPITAL,450055,TX,READM-30-AMI,,1.0,,,,,07/01/2021,06/30/2024
ROLLING PLAINS MEMORIAL HOSPITAL,450055,TX,READM-30-PN,72.0,,0.9991,15.3597,15.3734,11.0,07/01/2021,06/30/2024
TEXAS HEALTH HARRIS METHODIST FORT WORTH,450135,TX,READM-30-HIP-KNEE,,1.0,,,,,07/01/2021,06/30/2024
THE HOSPITALS OF PROVIDENCE - MEMORIAL CAMPUS,450002,TX,READM-30-PN,102.0,,1.0254,15.9967,15.5997,18.0,07/01/2021,06/30/2024
UNITED REGIONAL HEALTH CARE SYSTEM,450010,TX,READM-30-COPD,278.0,,0.9719,18.7504,19.2923,50.0,07/01/2021,06/30/2024
UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON,450018,TX,READM-30-PN,576.0,,0.9895,16.2692,16.4413,93.0,07/01/2021,06/30/2024
UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON,450018,TX,READM-30-COPD,179.0,,1.0219,19.7509,19.3282,37.0,07/01/2021,06/30/2024
UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,450194,TX,READM-30-COPD,,1.0,,,,,07/01/2021,06/30/2024
UT OF TEXAS  SOUTHWESTERN UNIVERSITY HOSPITAL - WILLIAM P. CLEMENTS JR.,450044,TX,READM-30-AMI,139.0,,1.1005,17.873,16.2401,30.0,07/01/2021,06/30/2024
VALLEY BAPTIST MEDICAL CENTER- BROWNSVILLE,450028,TX,READM-30-HIP-KNEE,,1.0,,,,,07/01/2021,06/30/2024
VHS HARLINGEN HOSPITAL COMPANY LLC,450033,TX,READM-30-COPD,,,0.9808,17.252,17.5895,,07/01/2021,06/30/2024
VHS HARLINGEN HOSPITAL COMPANY LLC,450033,TX,READM-30-AMI,99.0,,1.1217,18.041,16.0837,24.0,07/01/2021,06/30/2024
VHS HARLINGEN HOSPITAL COMPANY LLC,450033,TX,READM-30-PN,322.0,,1.1422,18.0162,15.7731,67.0,07/01/2021,06/30/2024
VHS HARLINGEN HOSPITAL COMPANY LLC,450033,TX,READM-30-HIP-KNEE,,,0.9498,6.1663,6.4919,,07/01/2021,06/30/2024
VHS HARLINGEN HOSPITAL COMPANY LLC,450033,TX,READM-30-CABG,,1.0,,,,,07/01/2021,06/30/2024
